,Viscosity,T,CaO,Al2O3,SiO2,result_0,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8,result_9,result_10,result_11,result_12,result_13,result_14,result_15,result_16,result_17,result_18,result_19,result_20,result_21,result_22,result_23,result_24,result_25,result_26,result_27,result_28,result_29,result_30,result_31,result_32,result_33,result_34,result_35
0,7.6,1816,0.45,0.15,0.4,20.94007177938592,20.909822926330733,20.286964764836263,20.36377527412301,20.413222129071745,20.414178696158814,20.38764758758088,20.054460603841513,20.065322078118676,19.72877594089279,19.572175547631193,19.71607385136659,19.698154161004652,19.6458863089759,19.675659514186457,19.677612818677098,19.710096513434085,19.712049817924722,19.628468409187256,19.634899524961373,19.63597972871597,19.637447929199624,19.600351819074294,19.618328677965636,19.555563478878703,19.572071662839257,19.57184074783213,19.555860320877063,19.565096806345498,19.572048355112077,19.565201847268884,19.567155151759522,19.558055051576787,19.558059623587337,19.56026183441678,19.56223335134194
1,7.0,1816,0.45,0.1,0.45,20.94007177938592,20.909822926330733,20.286964764836263,20.36377527412301,20.413222129071745,20.414178696158814,20.38764758758088,20.104460603841513,20.115322078118673,19.72877594089279,19.572175547631193,19.71607385136659,19.698154161004652,19.665976541983728,19.675659514186457,19.677612818677098,19.710096513434085,19.712049817924722,19.63875099998131,19.646324715714247,19.647595332247818,19.648867501644048,19.61862486867726,19.629598892760416,19.564471522031365,19.58182247236525,19.581580389928614,19.56007085398905,19.570848968377547,19.581643729862677,19.57446418081764,19.57641748530828,19.568300107246166,19.568303188125697,19.570643145027848,19.57367993809635
2,24.5,1816,0.35,0.1,0.55,20.94007177938592,21.00982292633073,20.9218853997569,20.981063318826408,21.846143757759688,21.849997724851765,21.920569216268824,22.032762604010543,22.035167988467293,22.79911967318859,22.932245832096825,22.79136826390418,22.802743818454132,22.788544851172816,22.72947446128111,22.730221381162504,22.677233956832442,22.677980876713832,22.69767882817091,22.692414922111794,22.69221537537311,22.677962374274195,22.67867138875421,22.644538837632552,22.53149730293681,22.563131000778117,22.56271498723681,22.527581608213595,22.548238236526327,22.567388806217096,22.55481077531329,22.55555769519468,22.54791250163249,22.54792143934098,22.554174852348943,22.564398159940044
3,23.8,1816,0.35,0.15,0.5,20.94007177938592,21.00982292633073,20.9218853997569,20.981063318826408,21.846143757759688,21.849997724851765,21.920569216268824,21.982762604010546,21.985167988467296,22.79911967318859,22.932245832096825,22.79136826390418,22.802743818454132,22.812413933309223,22.72947446128111,22.730221381162504,22.677233956832442,22.677980876713832,22.706321485021803,22.702426271511193,22.70227677175548,22.690609857757256,22.696170955079403,22.658798123044186,22.54890229234937,22.57994530390573,22.579537379583137,22.553493165139123,22.571229023246254,22.583763269114353,22.571423353452047,22.57217027333344,22.560321613867586,22.560340771723993,22.567313579286793,22.5750466154889
4,12.7,1816,0.4,0.2,0.4,20.94007177938592,20.959822926330734,20.56474254261404,20.632674998161825,20.98862138107075,20.99337952587007,21.013046839579886,20.948645493817743,20.966221254761884,21.170588217949575,21.088992391328873,21.085775536661917,21.09016799280694,21.08838858375669,21.091061144889995,21.092329261394887,21.131235716625046,21.132503833129935,21.113103391575343,21.146224648502077,21.148789240849677,21.144863991771732,21.133975805166145,21.120283268268324,20.99062376757002,21.03156259360546,21.031014615389388,20.999199841372494,21.01948903408238,21.027243404763716,21.01071498258223,21.01198309908712,20.992048544598028,20.99206074316707,20.99814781549281,21.003358291965206
5,13.0,1816,0.4,0.15,0.45,20.94007177938592,20.959822926330734,20.56474254261404,20.632674998161825,20.98862138107075,20.99337952587007,21.013046839579886,20.998645493817744,21.01622125476188,21.170588217949575,21.088992391328873,21.085775536661917,21.09016799280694,21.08907253653164,21.091061144889995,21.092329261394887,21.131235716625046,21.132503833129935,21.171840568443113,21.20440301557545,21.206933185352568,21.20299070268624,21.18542239641672,21.17832930930766,21.04865873913142,21.08963129380733,21.08908350787046,21.04526654271111,21.068620879568318,21.085413788345026,21.06887937770044,21.07014749420533,21.052268806498393,21.052287205826232,21.05967319556244,21.067037773017358
6,11.8,1816,0.4,0.1,0.5,20.94007177938592,20.959822926330734,20.56474254261404,20.632674998161825,20.98862138107075,20.99337952587007,21.013046839579886,21.048645493817745,21.06622125476188,21.170588217949575,21.088992391328873,21.085775536661917,21.09016799280694,21.089831164070898,21.091061144889995,21.092329261394887,21.131235716625046,21.132503833129935,21.22949715106572,21.261282904242883,21.263761300678432,21.259831997926966,21.236172559172225,21.23510721123117,21.105790579308277,21.146661438710066,21.146115645398627,21.091107333509186,21.117567292405198,21.142584660103804,21.126099014958143,21.127367131463036,21.11399044773948,21.113999927643636,21.12085084014409,21.130916660467783
7,9.5,1791,0.45,0.15,0.4,20.94007177938592,20.909822926330733,20.286964764836263,20.36377527412301,20.413222129071745,20.414178696158814,20.38764758758088,20.054460603841513,20.065322078118676,19.72877594089279,19.572175547631193,19.71607385136659,19.698154161004652,19.6458863089759,19.675659514186457,19.677612818677098,19.710096513434085,19.712049817924722,19.628468409187256,19.634899524961373,19.63597972871597,19.637447929199624,19.600351819074294,19.621390409398074,19.558652273757282,19.57397233872301,19.575223860622227,19.558615639297972,19.567253575363065,19.573109313656644,19.56474615527711,19.566699459767747,19.5578274372305,19.55782478913236,19.55805706236556,19.558904919115665
8,8.5,1791,0.45,0.1,0.45,20.94007177938592,20.909822926330733,20.286964764836263,20.36377527412301,20.413222129071745,20.414178696158814,20.38764758758088,20.104460603841513,20.115322078118673,19.72877594089279,19.572175547631193,19.71607385136659,19.698154161004652,19.665976541983728,19.675659514186457,19.677612818677098,19.710096513434085,19.712049817924722,19.63875099998131,19.646324715714247,19.647595332247818,19.648867501644048,19.61862486867726,19.632771531231317,19.56772537576863,19.583814462429658,19.58512553142633,19.562739871707677,19.572885551941702,19.58275501339474,19.573985789713475,19.575939094204113,19.566667308433342,19.566667985473345,19.567516450889777,19.569067492628903
9,30.5,1791,0.35,0.1,0.55,20.94007177938592,21.00982292633073,20.9218853997569,20.981063318826408,21.846143757759688,21.849997724851765,21.920569216268824,22.032762604010543,22.035167988467293,22.79911967318859,22.932245832096825,22.79136826390418,22.802743818454132,22.788544851172816,22.72947446128111,22.730221381162504,22.677233956832442,22.677980876713832,22.69767882817091,22.692414922111794,22.69221537537311,22.677962374274195,22.67867138875421,22.64859576096299,22.53773040546014,22.566529418360943,22.568742431724555,22.53285463799681,22.55196133919285,22.569282429005508,22.553950586903753,22.554697506785146,22.542052385573477,22.542056547965206,22.545383891631197,22.551788942336042
